ITERATION, [OBJ_FUNC]MIN_VOLUME, [OBJ]OBJ_FUNC_DRESP:DRESP_VOLUME, [OBJ]OBJ_FUNC_TERM:DRESP_VOLUME, [CON]STRESS_CONSTRAINT:LE:DRESP_STRESS, [VAR]DRESP_VOLUME, [VAR]DRESP_STRESS, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
65, 5.1792402e+4, 5.1792402e+4, 5.1792402e+4, 7.7642810e+2, 5.1792402e+4, 7.7642810e+2, 0.0000000, 2.0228973e-2, 4.1255490e-3, 9.9000001e-1
66, 5.1418863e+4, 5.1418863e+4, 5.1418863e+4, 8.1648584e+2, 5.1418863e+4, 8.1648584e+2, 0.0000000, 1.8160840e-2, 3.5767290e-3, 9.9000001e-1
67, 5.1752441e+4, 5.1752441e+4, 5.1752441e+4, 7.7582825e+2, 5.1752441e+4, 7.7582825e+2, 0.0000000, 1.5790148e-2, 2.8472748e-3, 9.9000001e-1
68, 5.1356734e+4, 5.1356734e+4, 5.1356734e+4, 7.9037317e+2, 5.1356734e+4, 7.9037317e+2, 0.0000000, 1.9118646e-2, 3.5799190e-3, 9.9000001e-1
69, 5.1203105e+4, 5.1203105e+4, 5.1203105e+4, 8.0755676e+2, 5.1203105e+4, 8.0755676e+2, 0.0000000, 7.5703789e-3, 1.5125260e-3, 9.9000001e-1
70, 5.1356652e+4, 5.1356652e+4, 5.1356652e+4, 7.8139374e+2, 5.1356652e+4, 7.8139374e+2, 0.0000000, 7.3945620e-3, 1.2636002e-3, 9.9000001e-1
71, 5.1186102e+4, 5.1186102e+4, 5.1186102e+4, 7.9887823e+2, 5.1186102e+4, 7.9887823e+2, 0.0000000, 8.2814787e-3, 1.5307685e-3, 9.9000001e-1
72, 5.1161238e+4, 5.1161238e+4, 5.1161238e+4, 8.0330170e+2, 5.1161238e+4, 8.0330170e+2, 0.0000000, 1.2221632e-3, 2.9249809e-4, 9.9000001e-1
73, 5.1230336e+4, 5.1230336e+4, 5.1230336e+4, 7.9409631e+2, 5.1230336e+4, 7.9409631e+2, 0.0000000, 3.3345136e-3, 5.4914603e-4, 9.9000001e-1
74, 5.1152723e+4, 5.1152723e+4, 5.1152723e+4, 8.0325946e+2, 5.1152723e+4, 8.0325946e+2, 0.0000000, 3.7645071e-3, 6.9142116e-4, 9.9000001e-1
75, 5.1252043e+4, 5.1252043e+4, 5.1252043e+4, 7.9774292e+2, 5.1252043e+4, 7.9774292e+2, 0.0000000, 4.6924762e-3, 9.0827764e-4, 9.9000001e-1
